,index_ft,ik-index_ft,token_count_ft,index_nd,ik-index_nd,token_count_nd,index_do,ik-index_do,token_count_do,ratio_dialogue_text,genre_riddle,mean_literary_rating,org_lang
0,Abdolah_Koning 2,0.2656875834445928,9753,Abdolah_Koning 2 ZD,0.0,5730,Abdolah_Koning 2 AD,0.49014778325123154,4018,0.41197580231723574,Fiction,5.23214285714285,nl
1,Abdolah_Kraai 17,0.6081771720613288,9636,Abdolah_Kraai 17 ZD,0.6417322834645669,8344,Abdolah_Kraai 17 AD,0.3875,1290,0.13387297633872977,Fiction,5.90796019900497,nl
2,Adler-Olsen_VrouwInKooi 33,0.17542120911793854,9627,Adler-Olsen_VrouwInKooi 33 ZD,0.0,5310,Adler-Olsen_VrouwInKooi 33 AD,0.34235976789168276,4307,0.4473875558325543,Suspense,3.76190476190476,da
3,Ammaniti_JijEnIk 16,0.5003278688524591,9587,Ammaniti_JijEnIk 16 ZD,0.5144995322731525,6885,Ammaniti_JijEnIk 16 AD,0.4650655021834061,2697,0.28131845207051215,Fiction,5.61302681992337,it
4,Baantjer_MesInRug 23,0.3166855845629966,9588,Baantjer_MesInRug 23 ZD,0.0,3941,Baantjer_MesInRug 23 AD,0.4626865671641791,5631,0.58729662077597,Suspense,2.92086330935251,nl
5,Bakker_Omweg 40,0.14977578475336323,9724,Bakker_Omweg 40 ZD,0.0,7246,Bakker_Omweg 40 AD,0.5122699386503068,2458,0.2527766351295763,Fiction,6.1886792452830095,nl
6,Baldacci_NietsDanWaarheid 28,0.1904176904176904,9738,Baldacci_NietsDanWaarheid 28 ZD,0.0,6959,Baldacci_NietsDanWaarheid 28 AD,0.4952076677316294,2759,0.2833230642842473,Suspense,3.8761904761904704,en
7,Beijnum_SoortFamilie 96,0.08283433133732535,9904,Beijnum_SoortFamilie 96 ZD,0.0012048192771084338,8792,Beijnum_SoortFamilie 96 AD,0.47126436781609193,1106,0.11167205169628433,Fiction,5.76338514680483,nl
8,Bernlef_GeleendeLevens 31,0.2714078374455733,9877,Bernlef_GeleendeLevens ZD,0.22348484848484848,8260,Bernlef_GeleendeLevens AD,0.4233128834355828,1608,0.16280247038574466,Fiction,6.24557956777996,nl
9,Bezaz_Vinexvrouwen 23,0.5496941896024465,9668,Bezaz_Vinexvrouwen 23 ZD,0.6133828996282528,6146,Bezaz_Vinexvrouwen 23 AD,0.44532803180914515,3519,0.36398427803061645,Fiction,3.5364238410596,nl
10,Brown_AllesWatWij 82,0.14272890484739678,9872,Brown_AllesWatWij 82 ZD,0.0,7380,Brown_AllesWatWij 82 AD,0.5145631067961165,2481,0.25131685575364665,Fiction,4.230769230769231,en
11,Clancy_OgenVanVijand 116,0.26297169811320753,9711,Clancy_OgenVanVijand 116 ZD,0.004739336492890996,6920,Clancy_OgenVanVijand 116 AD,0.5163551401869159,2773,0.28555246627535785,Suspense,3.49230769230769,en
12,Coben_Levenslijn 79,0.2219959266802444,9640,Coben_Levenslijn 79 ZD,0.004357298474945534,5937,Coben_Levenslijn 79 AD,0.4114285714285714,3653,0.37894190871369293,Suspense,3.89513108614232,en
13,Cussler_Duivelsadem 176,0.1833616298811545,9800,Cussler_Duivelsadem 176 ZD,0.0024509803921568627,8254,Cussler_Duivelsadem 176 AD,0.5846994535519126,1539,0.1570408163265306,Suspense,3.37209302325581,en
14,Evans_Vergeving 86,0.116,9784,Evans_Vergeving 86 ZD,0.0,8176,Evans_Vergeving 86 AD,0.41232227488151657,1605,0.1640433360588716,Fiction,4.15767634854771,en
15,Fallon_OpManAf 29,0.13326848249027237,9762,Fallon_OpManAf 29 ZD,0.002805049088359046,7577,Fallon_OpManAf 29 AD,0.42586750788643535,2146,0.2198320016390084,Romantic,2.9074074074074,en
16,Forbes_SterfMetMij 67,0.1309931506849315,9811,Forbes_SterfMetMij 67 ZD,0.0,6602,Forbes_SterfMetMij 67 AD,0.34075723830734966,3202,0.3263683620426052,Suspense,3.8904109589041,en
17,Gastel_ZwaarVerliefd! 43,0.5951916829109811,9783,Gastel_ZwaarVerliefd! 43 ZD,0.662109375,6244,Gastel_ZwaarVerliefd! 43 AD,0.4594594594594595,3532,0.36103444751098845,Romantic,2.70285714285714,nl
18,Gerritsen_KoudHart 112,0.2846441947565543,9664,Gerritsen_KoudHart 112 ZD,0.012376237623762377,4868,Gerritsen_KoudHart 112 AD,0.44894894894894893,4785,0.49513658940397354,Suspense,3.86390532544378,en
19,Harbach_KunstVanVeldspel 147,0.13620071684587814,9786,Harbach_KunstVanVeldspel 147 ZD,0.0016611295681063123,7801,Harbach_KunstVanVeldspel 147 AD,0.4767932489451477,1978,0.20212548538728797,Fiction,5.87820512820512,en
20,Hayder_Huid 40,0.21991341991341992,9747,Hayder_Huid 40 ZD,0.0,5610,Hayder_Huid 40 AD,0.38837920489296635,4113,0.42197599261311175,Suspense,3.7261904761904705,en
21,Hollander_Naaktportret 76,0.6196610169491525,9776,Hollander_Naaktportret 76 ZD,0.6933333333333334,5815,Hollander_Naaktportret 76 AD,0.4991394148020654,3950,0.404050736497545,Suspense,3.71100917431192,nl
22,Hollander_Vluchtgedrag 79,0.7400530503978779,6975,Hollander_Vluchtgedrag 79 ZD,0.7400530503978779,6975,Hollander_Vluchtgedrag 79 AD,0.4314214463840399,2825,0.4050179211469534,Suspense,3.89733840304182,nl
23,Hollander_Zielsverwanten 54,0.26374501992031874,9684,Hollander_Zielsverwanten 54 ZD,0.1420389461626575,7039,Hollander_Zielsverwanten 54 AD,0.5390625,2639,0.2725113589425857,Suspense,3.90939597315436,nl
24,Houellebecq_KaartEnGebied,0.24009603841536614,9952,Houellebecq_KaartEnGebied 54 ZD,0.008733624454148471,6170,Houellebecq_KaartEnGebied 54 AD,0.519893899204244,3770,0.3788183279742765,Fiction,6.4096045197740095,fr
25,Jackson_ZevendeDoodzonde 137,0.07804370447450572,9822,Jackson_ZevendeDoodZonde 137 ZD,0.0,7882,Jackson_ZevendeDoodZonde 137 AD,0.3456221198156682,1908,0.19425778863775198,Suspense,3.9826086956521696,en
26,James_KleineDingen 7,0.12170753860127158,9828,James_KleineDingen 7 ZD,0.0,7962,James_KleineDingen 7 AD,0.4364820846905538,1898,0.1931216931216931,Romantic,3.53691275167785,en
27,Jonasson_100-jarigeManDie 6,0.047619047619047616,9823,Jonasson_100-jarigeManDie 6 ZD,0.0018281535648994515,9245,Jonasson_100-jarigeManDie 6 AD,0.4375,576,0.058637890664766365,Fiction,4.81346423562412,se
28,King_Gevangen 287,0.31473684210526315,9813,King_Gevangen 287 ZD,0.0027100271002710027,4489,King_Gevangen 287 AD,0.5111492281303602,5322,0.54234179150107,Suspense,4.125,en
29,Kingsbury_NooitTeLaat 74,0.11932773109243698,9840,Kingsbury_NooitTeLaat 74 ZD,0.0,7729,Kingsbury_NooitTeLaat 74 AD,0.461038961038961,2106,0.21402439024390243,Fiction,3.46666666666666,en
