"","txt_name","token_count_full_text","ik_index_full_text","token_count_dialogue","ik_index_dialogue","token_count_nondialogue","ik_index_nondialogue","ratio_dialogue","genre","mean_literary_rating","language_category"
"58","Voskuijl_Dorp 41",9698,0.38,3848,0.53,6089,0.27,0.4,"Suspense",5.52,1
"57","Vlugt_Herfstlied 19",9723,0.25,3767,0.48,5951,0.07,0.39,"Suspense",4,1
"45","Pauw_Daglicht 37",9667,0.53,4504,0.43,5156,0.62,0.47,"Suspense",3.97,1
"24","Hollander_Zielsverwanten 54",9684,0.26,2639,0.54,7039,0.14,0.27,"Suspense",3.91,1
"23","Hollander_Vluchtgedrag 79",6975,0.74,2825,0.43,6975,0.74,0.41,"Suspense",3.9,1
"22","Hollander_Naaktportret 76",9776,0.62,3950,0.5,5815,0.69,0.4,"Suspense",3.71,1
"55","Verhoef_Close-up 84",9670,0.57,3875,0.52,5790,0.6,0.4,"Suspense",3.67,1
"46","Rijn_LastMinute 21",9760,0.13,1888,0.53,7865,0,0.19,"Suspense",3.32,1
"5","Baantjer_MesInRug 23",9588,0.32,5631,0.46,3941,0,0.59,"Suspense",2.92,1
"37","Mankell_GekweldeMan 164",9725,0.3,4970,0.48,4753,0,0.51,"Suspense",4.77,2
"43","Nesbo_Schim 22",9901,0.27,3592,0.29,6312,0.26,0.36,"Suspense",4.17,2
"48","Rosenfeldt_WatVerborgenIs 28",9766,0.14,2227,0.41,7529,0,0.23,"Suspense",4.13,2
"34","Lackberg_SneeuwstormEnAmandelgeur 24",9843,0.17,7155,0,2678,0.53,0.73,"Suspense",4.08,2
"35","Larsson_VrouwDieMet 247",9728,0.2,4269,0.41,5458,0.01,0.44,"Suspense",4.04,2
"3","Adler-Olsen_VrouwInKooi 33",9627,0.18,4307,0.34,5310,0,0.45,"Suspense",3.76,2
"53","Stevens_Vermist 114",9732,0.56,4623,0.51,5091,0.61,0.48,"Suspense",4.18,3
"33","Koryta_Begraven 102",9742,0.47,2906,0.41,6833,0.51,0.3,"Suspense",4.17,3
"29","King_Gevangen 287",9813,0.31,5322,0.51,4489,0,0.54,"Suspense",4.12,3
"26","Jackson_ZevendeDoodzonde 137",9822,0.08,1908,0.35,7882,0,0.19,"Suspense",3.98,3
"13","Coben_Levenslijn 79",9640,0.22,3653,0.41,5937,0,0.38,"Suspense",3.9,3
"17","Forbes_SterfMetMij 67",9811,0.13,3202,0.34,6602,0,0.33,"Suspense",3.89,3
"7","Baldacci_NietsDanWaarheid 28",9738,0.19,2759,0.5,6959,0,0.28,"Suspense",3.88,3
"19","Gerritsen_KoudHart 112",9664,0.28,4785,0.45,4868,0.01,0.5,"Suspense",3.86,3
"47","Rose_MoordVoorMij 16",9696,0.22,4086,0.41,5568,0,0.42,"Suspense",3.75,3
"21","Hayder_Huid 40",9747,0.22,4113,0.39,5610,0,0.42,"Suspense",3.73,3
"52","Smith_OpVolleZee 114",9790,0.27,4678,0.45,5103,0,0.48,"Suspense",3.66,3
"44","Patterson_Hitte 75",9660,0.57,3851,0.5,5798,0.62,0.4,"Suspense",3.54,3
"12","Clancy_OgenVanVijand 116",9711,0.26,2773,0.52,6920,0,0.29,"Suspense",3.49,3
"14","Cussler_Duivelsadem 176",9800,0.18,1539,0.58,8254,0,0.16,"Suspense",3.37,3
